race_url,driver,fastest_lap
https://www.formula1.com/en/results/1969/races/274/italy/race-result,Jean-Pierre Beltoise,1
https://www.formula1.com/en/results/1969/races/275/canada/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1969/races/276/united-states/race-result,Jochen Rindt,1
https://www.formula1.com/en/results/1969/races/277/mexico/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1970/races/278/south-africa/race-result,John Surtees,1
https://www.formula1.com/en/results/1970/races/279/spain/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1970/races/280/monaco/race-result,Jochen Rindt,1
https://www.formula1.com/en/results/1970/races/281/belgium/race-result,Chris Amon,1
https://www.formula1.com/en/results/1970/races/282/netherlands/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1970/races/283/france/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1970/races/284/great-britain/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1970/races/285/germany/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1970/races/286/austria/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1970/races/287/italy/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1970/races/288/canada/race-result,Clay Regazzoni,1
https://www.formula1.com/en/results/1970/races/289/united-states/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1970/races/290/mexico/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1971/races/291/south-africa/race-result,Mario Andretti,1
https://www.formula1.com/en/results/1971/races/292/spain/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1971/races/293/monaco/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1971/races/294/netherlands/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1971/races/295/france/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1971/races/296/great-britain/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1971/races/297/germany/race-result,Francois  Cevert,1
https://www.formula1.com/en/results/1971/races/298/austria/race-result,Jo Siffert,1
https://www.formula1.com/en/results/1971/races/299/italy/race-result,Henri Pescarolo,1
https://www.formula1.com/en/results/1971/races/300/canada/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1971/races/301/united-states/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1972/races/302/argentina/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1972/races/303/south-africa/race-result,Mike Hailwood,1
https://www.formula1.com/en/results/1972/races/304/spain/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1972/races/305/monaco/race-result,Jean-Pierre Beltoise,1
https://www.formula1.com/en/results/1972/races/306/belgium/race-result,Chris Amon,1
https://www.formula1.com/en/results/1972/races/307/france/race-result,Chris Amon,1
https://www.formula1.com/en/results/1972/races/308/great-britain/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1972/races/309/germany/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1972/races/310/austria/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1972/races/311/italy/race-result,Jacky Ickx,1
https://www.formula1.com/en/results/1972/races/312/canada/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1972/races/313/united-states/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1973/races/314/argentina/race-result,Emerson Fittipaldi,1
https://www.formula1.com/en/results/1973/races/315/brazil/race-result,Emerson Fittipaldi,1
https://www.formula1.com/en/results/1973/races/316/south-africa/race-result,Emerson Fittipaldi,1
https://www.formula1.com/en/results/1973/races/317/spain/race-result,Ronnie Peterson,1
https://www.formula1.com/en/results/1973/races/318/belgium/race-result,Francois  Cevert,1
https://www.formula1.com/en/results/1973/races/319/monaco/race-result,Emerson Fittipaldi,1
